artist,song,popularity,uri,url
Men At Work,Who Can It Be Now?,54,spotify:track:29r3fDexnrto7WABfpblNH,https://open.spotify.com/track/29r3fDexnrto7WABfpblNH
Billy Joel,Uptown Girl,63,spotify:track:3CSpzkoL1XgDBZ1q9aDCUV,https://open.spotify.com/track/3CSpzkoL1XgDBZ1q9aDCUV
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),0,spotify:track:2k1np6GRFvKjgjYfo2g39B,https://open.spotify.com/track/2k1np6GRFvKjgjYfo2g39B
Eurythmics,Sweet Dreams (Are Made of This) - Remastered,83,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS
Michael Jackson,Beat It,81,spotify:track:1OOtq8tRnDM8kG2gqUPjAj,https://open.spotify.com/track/1OOtq8tRnDM8kG2gqUPjAj
The Clash,Should I Stay or Should I Go - Remastered,61,spotify:track:6SjbzGo7arjfM5cXpXhc5B,https://open.spotify.com/track/6SjbzGo7arjfM5cXpXhc5B
TOTO,Africa,50,spotify:track:3h4h7LYcudzLLRX2dJU6st,https://open.spotify.com/track/3h4h7LYcudzLLRX2dJU6st
Daryl Hall & John Oates,You Make My Dreams (Come True),59,spotify:track:2dlEdDEmuQsrcXaAL3Znzi,https://open.spotify.com/track/2dlEdDEmuQsrcXaAL3Znzi
The Police,Every Breath You Take,70,spotify:track:0SNGe4xksgp7CGnY5kMXOJ,https://open.spotify.com/track/0SNGe4xksgp7CGnY5kMXOJ
Cyndi Lauper,Time After Time,73,spotify:track:1Jj6MF0xDOMA3Ut2Z368Bx,https://open.spotify.com/track/1Jj6MF0xDOMA3Ut2Z368Bx
George Michael,Faith - Remastered,76,spotify:track:0HEmnAUT8PHznIAAmVXqFJ,https://open.spotify.com/track/0HEmnAUT8PHznIAAmVXqFJ
Michael Jackson,Billie Jean,84,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5
Bruce Springsteen,Dancing In the Dark,79,spotify:track:7FwBtcecmlpc1sLySPXeGE,https://open.spotify.com/track/7FwBtcecmlpc1sLySPXeGE
The Pointer Sisters,I'm So Excited,74,spotify:track:1ot6jEe4w4hYnsOPjd3xKQ,https://open.spotify.com/track/1ot6jEe4w4hYnsOPjd3xKQ
Men At Work,Down Under,49,spotify:track:5MTQHfYH4RkJMtmtBQmnEj,https://open.spotify.com/track/5MTQHfYH4RkJMtmtBQmnEj
Billy Ocean,Caribbean Queen (No More Love On the Run),0,spotify:track:72dwliDcUH6g2TFiMTEbE9,https://open.spotify.com/track/72dwliDcUH6g2TFiMTEbE9
Prince,Kiss,75,spotify:track:62LJFaYihsdVrrkgUOJC05,https://open.spotify.com/track/62LJFaYihsdVrrkgUOJC05
Daryl Hall & John Oates,Maneater,0,spotify:track:4aKIs5t9TqP59btlCGPrgw,https://open.spotify.com/track/4aKIs5t9TqP59btlCGPrgw
The Romantics,What I Like About You,63,spotify:track:6NdcSEhpGGAYXNnnhGS2s6,https://open.spotify.com/track/6NdcSEhpGGAYXNnnhGS2s6
DEVO,Whip It,39,spotify:track:2FZzcWnzSyUvFbu7xNLepv,https://open.spotify.com/track/2FZzcWnzSyUvFbu7xNLepv
Rick Astley,Never Gonna Give You Up,0,spotify:track:0FutrWIUM5Mg3434asiwkp,https://open.spotify.com/track/0FutrWIUM5Mg3434asiwkp
Kenny Loggins,"Danger Zone - From ""Top Gun"" Original Soundtrack",77,spotify:track:34x6hEJgGAOQvmlMql5Ige,https://open.spotify.com/track/34x6hEJgGAOQvmlMql5Ige
REO Speedwagon,Keep on Loving You,73,spotify:track:4rcHWl68ai6KvpXlc8vbnE,https://open.spotify.com/track/4rcHWl68ai6KvpXlc8vbnE
Wham!,Wake Me Up Before You Go-Go - Remastered,52,spotify:track:5qFPs70nZD1fQZOi7u7cIZ,https://open.spotify.com/track/5qFPs70nZD1fQZOi7u7cIZ
The Outfield,Your Love,73,spotify:track:5dRQUolXAVX3BbCiIxmSsf,https://open.spotify.com/track/5dRQUolXAVX3BbCiIxmSsf
Scorpions,Rock You Like a Hurricane - 2011,60,spotify:track:1QLyDdhB9gmxbGv0K1kFyT,https://open.spotify.com/track/1QLyDdhB9gmxbGv0K1kFyT
A Flock Of Seagulls,I Ran,48,spotify:track:10zlwR7kvVbD9OBkeZWr3L,https://open.spotify.com/track/10zlwR7kvVbD9OBkeZWr3L
Eddie Money,Take Me Home Tonight,53,spotify:track:63diy8Bzm0pHMAU37By2Nh,https://open.spotify.com/track/63diy8Bzm0pHMAU37By2Nh
Dead Or Alive,You Spin Me Round (Like a Record),0,spotify:track:0BB9eUBBaaX6GALSYNcEp7,https://open.spotify.com/track/0BB9eUBBaaX6GALSYNcEp7
Dolly Parton,9 to 5,78,spotify:track:4w3tQBXhn5345eUXDGBWZG,https://open.spotify.com/track/4w3tQBXhn5345eUXDGBWZG
Matthew Wilder,Break My Stride,58,spotify:track:2ZqT3GcisHUBsEaqhLGHwU,https://open.spotify.com/track/2ZqT3GcisHUBsEaqhLGHwU
Rockwell,Somebody's Watching Me - Single Version,1,spotify:track:6A4Jc8npNo79BOgsrPptLA,https://open.spotify.com/track/6A4Jc8npNo79BOgsrPptLA
Starship,Nothing's Gonna Stop Us Now,0,spotify:track:2vEQ9zBiwbAVXzS2SOxodY,https://open.spotify.com/track/2vEQ9zBiwbAVXzS2SOxodY
Whitney Houston,How Will I Know,0,spotify:track:6mv30SInldy4Ijy1XZ9GdO,https://open.spotify.com/track/6mv30SInldy4Ijy1XZ9GdO
Paul Simon,You Can Call Me Al,57,spotify:track:6wLr2oR8eqUG5Beleh2Crm,https://open.spotify.com/track/6wLr2oR8eqUG5Beleh2Crm
Madonna,Material Girl,76,spotify:track:22sLuJYcvZOSoLLRYev1s5,https://open.spotify.com/track/22sLuJYcvZOSoLLRYev1s5
The Romantics,Talking In Your Sleep,65,spotify:track:7fRvtXvJMpGfTLdF0M09a1,https://open.spotify.com/track/7fRvtXvJMpGfTLdF0M09a1
Loverboy,Working for the Weekend,0,spotify:track:0sgDEFq9oeC8ueOK0mR5IA,https://open.spotify.com/track/0sgDEFq9oeC8ueOK0mR5IA
Bill Medley,(I've Had) The Time of My Life,0,spotify:track:5UqqOfFa9DYXALpCCF8VwB,https://open.spotify.com/track/5UqqOfFa9DYXALpCCF8VwB
Aretha Franklin,Freeway of Love - Single Mix,0,spotify:track:0RaY0juzXaCUDZ7SWGn85j,https://open.spotify.com/track/0RaY0juzXaCUDZ7SWGn85j
The Clash,Rock the Casbah - Remastered,73,spotify:track:56KqaFSGTb7ifpt16t5Y1N,https://open.spotify.com/track/56KqaFSGTb7ifpt16t5Y1N
Wham!,Last Christmas,2,spotify:track:0QPYn15U8IQHKcH2LDfrek,https://open.spotify.com/track/0QPYn15U8IQHKcH2LDfrek
Roy Orbison,You Got It,53,spotify:track:0RteYQqW1AOq3JNL0yMWYt,https://open.spotify.com/track/0RteYQqW1AOq3JNL0yMWYt
Berlin,"Take My Breath Away - Love Theme from ""Top Gun""",76,spotify:track:15MJ5NThPjj6xhPcts8MiY,https://open.spotify.com/track/15MJ5NThPjj6xhPcts8MiY
The Bangles,Walk Like an Egyptian,64,spotify:track:1Jwc3ODLQxtbnS8M9TflSP,https://open.spotify.com/track/1Jwc3ODLQxtbnS8M9TflSP
Run–D.M.C.,Walk This Way (feat. Aerosmith),70,spotify:track:6qUEOWqOzu1rLPUPQ1ECpx,https://open.spotify.com/track/6qUEOWqOzu1rLPUPQ1ECpx
The Pointer Sisters,Jump (For My Love),51,spotify:track:4k0bXm9Q4RaTuYi09i4lKK,https://open.spotify.com/track/4k0bXm9Q4RaTuYi09i4lKK
Billy Joel,It's Still Rock and Roll to Me,55,spotify:track:7LbOQt7isddrw3Bs3Czl7E,https://open.spotify.com/track/7LbOQt7isddrw3Bs3Czl7E
Duran Duran,Hungry Like the Wolf - 2009 Remaster,73,spotify:track:39lSeqnyjZJejRuaREfyLL,https://open.spotify.com/track/39lSeqnyjZJejRuaREfyLL
Midnight Oil,Beds Are Burning - Remastered,62,spotify:track:6Nabz5Gsy80XL0MJoOmgF8,https://open.spotify.com/track/6Nabz5Gsy80XL0MJoOmgF8
Ray Parker Jr.,Ghostbusters,0,spotify:track:6QGI6v91UlqSytTDVKZIUP,https://open.spotify.com/track/6QGI6v91UlqSytTDVKZIUP
Huey Lewis & The News,The Power Of Love,76,spotify:track:2olVm1lHicpveMAo4AUDRB,https://open.spotify.com/track/2olVm1lHicpveMAo4AUDRB
Bruce Springsteen,I'm On Fire,76,spotify:track:3PzsbWSQdLCKDLxn7YZfkM,https://open.spotify.com/track/3PzsbWSQdLCKDLxn7YZfkM
Bow Wow Wow,I Want Candy,43,spotify:track:6J8IwGX3oHi7x9B57vmMMW,https://open.spotify.com/track/6J8IwGX3oHi7x9B57vmMMW
Steve Perry,Oh Sherrie,0,spotify:track:3wqoAzrr5htxSZ7KzxhLHg,https://open.spotify.com/track/3wqoAzrr5htxSZ7KzxhLHg
Bonnie Tyler,Total Eclipse of the Heart,0,spotify:track:5prTs2HAw2G4idHZyeFp8o,https://open.spotify.com/track/5prTs2HAw2G4idHZyeFp8o
Eddie Money,Think I'm In Love,57,spotify:track:6mJQe0vTIojlxwyMwwy6YR,https://open.spotify.com/track/6mJQe0vTIojlxwyMwwy6YR
David Bowie,Let's Dance - Single Version [Remastered],47,spotify:track:0F1O42piteiHP3dRvKUz6p,https://open.spotify.com/track/0F1O42piteiHP3dRvKUz6p
AC/DC,You Shook Me All Night Long,82,spotify:track:2SiXAy7TuUkycRVbbWDEpo,https://open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo
The Jacksons,Shake Your Body (Down to the Ground) - Single Edit,57,spotify:track:6lSVidZXCnOnYAWcgIqVDF,https://open.spotify.com/track/6lSVidZXCnOnYAWcgIqVDF
Starship,We Built This City,0,spotify:track:7aHRctaQ7vjxVTVmY8OhAA,https://open.spotify.com/track/7aHRctaQ7vjxVTVmY8OhAA
Luther Vandross,Never Too Much,73,spotify:track:3nFJbZCHP4d9vduKjJLdBL,https://open.spotify.com/track/3nFJbZCHP4d9vduKjJLdBL
REO Speedwagon,Can't Fight This Feeling,73,spotify:track:5WwqdeavrQrbeAMDxGawse,https://open.spotify.com/track/5WwqdeavrQrbeAMDxGawse
Men At Work,Overkill,39,spotify:track:0bBVRsBbgnzW8wmdlD7Apq,https://open.spotify.com/track/0bBVRsBbgnzW8wmdlD7Apq
The Psychedelic Furs,Pretty in Pink,43,spotify:track:1Cl1J4Ai7NkuhLdaDHthTh,https://open.spotify.com/track/1Cl1J4Ai7NkuhLdaDHthTh
Sananda Maitreya,Wishing Well,0,spotify:track:0Hjf7OitONvGHglkCHRExc,https://open.spotify.com/track/0Hjf7OitONvGHglkCHRExc
Kenny Loggins,"I'm Alright - Theme from ""Caddyshack""",52,spotify:track:7vJnM5FUcOV3xAKJHSSUWj,https://open.spotify.com/track/7vJnM5FUcOV3xAKJHSSUWj
Willie Nelson,On the Road Again - Live,47,spotify:track:51wQovDO0hf05pkZYvu1GI,https://open.spotify.com/track/51wQovDO0hf05pkZYvu1GI
George Michael,I Knew You Were Waiting (For Me),55,spotify:track:2XgDgIsVUOt9Lov5G4Wruy,https://open.spotify.com/track/2XgDgIsVUOt9Lov5G4Wruy
Whitney Houston,Saving All My Love for You,0,spotify:track:44PrZkKrhVakshAlc48zrF,https://open.spotify.com/track/44PrZkKrhVakshAlc48zrF
The Bangles,Eternal Flame,68,spotify:track:5MoDQWMDMaAGDEiWsJfeCi,https://open.spotify.com/track/5MoDQWMDMaAGDEiWsJfeCi
Soft Cell,Tainted Love,61,spotify:track:58E1XVmZTODC67YNjneuXM,https://open.spotify.com/track/58E1XVmZTODC67YNjneuXM
Tom Petty,You Wreck Me,60,spotify:track:0YkbYk24ODhuewb79zZZzM,https://open.spotify.com/track/0YkbYk24ODhuewb79zZZzM
Santana,Smooth (feat. Rob Thomas),70,spotify:track:0n2SEXB2qoRQg171q7XqeW,https://open.spotify.com/track/0n2SEXB2qoRQg171q7XqeW
*NSYNC,Tearin' up My Heart - Radio Edit,58,spotify:track:594M0rqYMOo8BhMGEdoi5C,https://open.spotify.com/track/594M0rqYMOo8BhMGEdoi5C
Tom Petty and the Heartbreakers,Mary Jane's Last Dance,0,spotify:track:5eYwDBLucWfWI5KsV7oYX2,https://open.spotify.com/track/5eYwDBLucWfWI5KsV7oYX2
TLC,No Scrubs,81,spotify:track:1KGi9sZVMeszgZOWivFpxs,https://open.spotify.com/track/1KGi9sZVMeszgZOWivFpxs
Foo Fighters,Learn to Fly,56,spotify:track:0mWiuXuLAJ3Brin3Or2x6v,https://open.spotify.com/track/0mWiuXuLAJ3Brin3Or2x6v
Christina Aguilera,Genie in a Bottle,0,spotify:track:6onLnWywmbSnXDFPVY1mM6,https://open.spotify.com/track/6onLnWywmbSnXDFPVY1mM6
Britney Spears,...Baby One More Time,40,spotify:track:7EFVJfuaqhIIvzNHZpEpth,https://open.spotify.com/track/7EFVJfuaqhIIvzNHZpEpth
Tom Petty,You Don't Know How It Feels,64,spotify:track:7MooGz4ZPE4bNxjFegR6Jx,https://open.spotify.com/track/7MooGz4ZPE4bNxjFegR6Jx
Destiny's Child,"Jumpin', Jumpin'",72,spotify:track:4pmc2AxSEq6g7hPVlJCPyP,https://open.spotify.com/track/4pmc2AxSEq6g7hPVlJCPyP
Tom Petty and the Heartbreakers,Learning To Fly,73,spotify:track:17S4XrLvF5jlGvGCJHgF51,https://open.spotify.com/track/17S4XrLvF5jlGvGCJHgF51
Backstreet Boys,I Want It That Way,0,spotify:track:7v0kHF6tXT8ekVrJAbxpph,https://open.spotify.com/track/7v0kHF6tXT8ekVrJAbxpph
Crazy Town,Butterfly,73,spotify:track:4BggEwLhGfrbrl7JBhC8EC,https://open.spotify.com/track/4BggEwLhGfrbrl7JBhC8EC
Natalie Imbruglia,Torn,58,spotify:track:0KDaN0HL3TcJVTbXlQCEsS,https://open.spotify.com/track/0KDaN0HL3TcJVTbXlQCEsS
Lou Bega,Mambo No. 5 (A Little Bit of...),0,spotify:track:7jQBORjiir0pNSKGaHevq9,https://open.spotify.com/track/7jQBORjiir0pNSKGaHevq9
Spice Girls,Wannabe,82,spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,https://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT
Will Smith,Gettin' Jiggy Wit It,72,spotify:track:0weAUscowxeqDtpCgtbpgp,https://open.spotify.com/track/0weAUscowxeqDtpCgtbpgp
Michael Jackson,Black or White - Single Version,61,spotify:track:2Cy7QY8HPLk925AyNAt6OG,https://open.spotify.com/track/2Cy7QY8HPLk925AyNAt6OG
Mariah Carey,Fantasy,77,spotify:track:6xkryXuiZU360Lngd4sx13,https://open.spotify.com/track/6xkryXuiZU360Lngd4sx13
Incubus,Drive,43,spotify:track:7ofK94kTTBZZ5rdZiO1Isu,https://open.spotify.com/track/7ofK94kTTBZZ5rdZiO1Isu
Lit,My Own Worst Enemy,73,spotify:track:33iv3wnGMrrDugd7GBso1z,https://open.spotify.com/track/33iv3wnGMrrDugd7GBso1z
Macy Gray,I Try,0,spotify:track:6rvYf9JxdVpMdIiEbsbsBL,https://open.spotify.com/track/6rvYf9JxdVpMdIiEbsbsBL
Backstreet Boys,Everybody (Backstreet's Back) - Radio Edit,0,spotify:track:2WjM5cxN10uHaNqh6OLkMv,https://open.spotify.com/track/2WjM5cxN10uHaNqh6OLkMv
*NSYNC,I Want You Back - Radio Edit,43,spotify:track:5AmRtvaQgLmZ7CxOxABq4Y,https://open.spotify.com/track/5AmRtvaQgLmZ7CxOxABq4Y
Jennifer Lopez,If You Had My Love,63,spotify:track:3x4yV0hW5Ve3TKhFkXSqFn,https://open.spotify.com/track/3x4yV0hW5Ve3TKhFkXSqFn
Train,Meet Virginia,62,spotify:track:4ocbH5ZJqajZIpUrqRUoue,https://open.spotify.com/track/4ocbH5ZJqajZIpUrqRUoue
Foo Fighters,Everlong,58,spotify:track:07q6QTQXyPRCf7GbLakRPr,https://open.spotify.com/track/07q6QTQXyPRCf7GbLakRPr
Destiny's Child,Say My Name,78,spotify:track:7H6ev70Weq6DdpZyyTmUXk,https://open.spotify.com/track/7H6ev70Weq6DdpZyyTmUXk
Fugees,Killing Me Softly With His Song,78,spotify:track:0Q0IVlqMV64kNLlwjPj0Hl,https://open.spotify.com/track/0Q0IVlqMV64kNLlwjPj0Hl
Christina Aguilera,What a Girl Wants,0,spotify:track:2iIg5LCp81QGEpnAFDT8V4,https://open.spotify.com/track/2iIg5LCp81QGEpnAFDT8V4
Tal Bachman,She's so High,71,spotify:track:7mnGQesk1TzQLzQ9bYWZPR,https://open.spotify.com/track/7mnGQesk1TzQLzQ9bYWZPR
Britney Spears,(You Drive Me) Crazy,67,spotify:track:1DSJNBNhGZCigg9ll5VeZv,https://open.spotify.com/track/1DSJNBNhGZCigg9ll5VeZv
Des'ree,You Gotta Be,66,spotify:track:6CU0zWIWVTEnmWpSjVHM93,https://open.spotify.com/track/6CU0zWIWVTEnmWpSjVHM93
Backstreet Boys,Quit Playing Games (With My Heart),0,spotify:track:10TwZnDyL3tfpwBV85Wevs,https://open.spotify.com/track/10TwZnDyL3tfpwBV85Wevs
Jamiroquai,Virtual Insanity - Remastered,0,spotify:track:3rpeUtH3p22qBhJRpKxrW6,https://open.spotify.com/track/3rpeUtH3p22qBhJRpKxrW6
Mariah Carey,Always Be My Baby,39,spotify:track:1pMjdk4KxtiCcbRutDYtwv,https://open.spotify.com/track/1pMjdk4KxtiCcbRutDYtwv
Will Smith,"Men In Black - From ""Men In Black"" Soundtrack",65,spotify:track:2FK7fxjzQEXD7Z32HSF0Hl,https://open.spotify.com/track/2FK7fxjzQEXD7Z32HSF0Hl
Eve 6,Inside Out,69,spotify:track:4GiVcDqNQI0fc0yYuRGH9m,https://open.spotify.com/track/4GiVcDqNQI0fc0yYuRGH9m
Eagle-Eye Cherry,Save Tonight,37,spotify:track:6j9ni7NsraofsDmYqIlEdr,https://open.spotify.com/track/6j9ni7NsraofsDmYqIlEdr
Britney Spears,Oops!...I Did It Again,79,spotify:track:6naxalmIoLFWR0siv8dnQQ,https://open.spotify.com/track/6naxalmIoLFWR0siv8dnQQ
Ricky Martin,Livin' la Vida Loca,75,spotify:track:0Ph6L4l8dYUuXFmb71Ajnd,https://open.spotify.com/track/0Ph6L4l8dYUuXFmb71Ajnd
Green Day,Basket Case,82,spotify:track:6L89mwZXSOwYl76YXfX13s,https://open.spotify.com/track/6L89mwZXSOwYl76YXfX13s
Aerosmith,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",75,spotify:track:225xvV8r1yKMHErSWivnow,https://open.spotify.com/track/225xvV8r1yKMHErSWivnow
Soul Asylum,Runaway Train (2022 Remaster),72,spotify:track:3TW48DvQ7ChwY1Yy1tkMaP,https://open.spotify.com/track/3TW48DvQ7ChwY1Yy1tkMaP
Pearl Jam,Last Kiss,73,spotify:track:0QnONzv3TvHAWk294h6DaQ,https://open.spotify.com/track/0QnONzv3TvHAWk294h6DaQ
Santana,Maria Maria (feat. The Product G&B),67,spotify:track:3XKIUb7HzIF1Vu9usunMzc,https://open.spotify.com/track/3XKIUb7HzIF1Vu9usunMzc
Robyn,Show Me Love - Radio Version,60,spotify:track:6SluaPiV04KOaRTOIScoff,https://open.spotify.com/track/6SluaPiV04KOaRTOIScoff
Fuel,Shimmer,54,spotify:track:6DzbmjkVZpz1mrDobAoJI8,https://open.spotify.com/track/6DzbmjkVZpz1mrDobAoJI8
Will Smith,Miami,72,spotify:track:6e8Ou0wiqAzIpWb2eSxll8,https://open.spotify.com/track/6e8Ou0wiqAzIpWb2eSxll8
Ms. Lauryn Hill,Doo Wop (That Thing) - Edit,55,spotify:track:0YfNXMKlh46m6aAhHOrmls,https://open.spotify.com/track/0YfNXMKlh46m6aAhHOrmls
Dido,Thank You,62,spotify:track:751gBcu62kORDelX7FV0mM,https://open.spotify.com/track/751gBcu62kORDelX7FV0mM
Usher,You Make Me Wanna...,39,spotify:track:3045fb9YLKYjlRq8398U3G,https://open.spotify.com/track/3045fb9YLKYjlRq8398U3G
Savage Garden,Truly Madly Deeply,49,spotify:track:7xUVverKyPPPAW3sDqXhfi,https://open.spotify.com/track/7xUVverKyPPPAW3sDqXhfi
Destiny's Child,"Independent Women, Pt. 1",52,spotify:track:5EDUIiDf1Sp6nVnmCMRxa2,https://open.spotify.com/track/5EDUIiDf1Sp6nVnmCMRxa2
TLC,Creep,68,spotify:track:1aWV3uY3SIEZVbmv45oFWS,https://open.spotify.com/track/1aWV3uY3SIEZVbmv45oFWS
CAKE,Never There,63,spotify:track:7aKWgpecgLEqisWcXPElDl,https://open.spotify.com/track/7aKWgpecgLEqisWcXPElDl
Cypress Hill,Insane in the Brain,75,spotify:track:1oTHteQbmJw15rPxPVXUTv,https://open.spotify.com/track/1oTHteQbmJw15rPxPVXUTv
Ginuwine,Pony,74,spotify:track:6mz1fBdKATx6qP4oP1I65G,https://open.spotify.com/track/6mz1fBdKATx6qP4oP1I65G
Fugees,Ready or Not,73,spotify:track:3vZO25GdYuqFrR1kzZADnp,https://open.spotify.com/track/3vZO25GdYuqFrR1kzZADnp
Whitney Houston,I Will Always Love You - Film Version,52,spotify:track:6XQz4HwNIQZ652JFa7putY,https://open.spotify.com/track/6XQz4HwNIQZ652JFa7putY
Michael Jackson,Remember the Time,74,spotify:track:4jnFqNWeJCeCRHc4HCdxfd,https://open.spotify.com/track/4jnFqNWeJCeCRHc4HCdxfd
George Michael,Freedom! '90 - Edit,39,spotify:track:0YuqaTaX6wdAI3mSR6LPQt,https://open.spotify.com/track/0YuqaTaX6wdAI3mSR6LPQt
Jimmy Ray,Are You Jimmy Ray?,39,spotify:track:6VWFrHAnLDyNUEJbJvpkZA,https://open.spotify.com/track/6VWFrHAnLDyNUEJbJvpkZA
Pras,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),69,spotify:track:31bf9SEOppLU6lQ85d8om6,https://open.spotify.com/track/31bf9SEOppLU6lQ85d8om6
LEN,Steal My Sunshine,61,spotify:track:4agp6oHofabdUedr0B1krj,https://open.spotify.com/track/4agp6oHofabdUedr0B1krj
Destiny's Child,"Bills, Bills, Bills",73,spotify:track:1Oi2zpmL81Q0yScF1zxaC0,https://open.spotify.com/track/1Oi2zpmL81Q0yScF1zxaC0
Britney Spears,Sometimes,70,spotify:track:1UI0l2L66HJ9AtoEOlHzv4,https://open.spotify.com/track/1UI0l2L66HJ9AtoEOlHzv4
LFO,Summer Girls,58,spotify:track:7uYroF9RRrhRJBrigRvB6H,https://open.spotify.com/track/7uYroF9RRrhRJBrigRvB6H
Third Eye Blind,Semi-Charmed Life - 2006 Remaster,41,spotify:track:52y59AQ0HkwcxSnYrfnv5Q,https://open.spotify.com/track/52y59AQ0HkwcxSnYrfnv5Q
Jennifer Lopez,Waiting for Tonight,55,spotify:track:5jOvmh1DYmaiBPETL6HCRY,https://open.spotify.com/track/5jOvmh1DYmaiBPETL6HCRY
Billy Joel,We Didn't Start the Fire,76,spotify:track:3Cx4yrFaX8CeHwBMReOWXI,https://open.spotify.com/track/3Cx4yrFaX8CeHwBMReOWXI
TLC,Unpretty,63,spotify:track:0BUoLE4o9eVahDHvTqak67,https://open.spotify.com/track/0BUoLE4o9eVahDHvTqak67
Ghost Town DJs,My Boo - Hitman's Club Mix,0,spotify:track:2OawRn0NvWkStuemgdae4i,https://open.spotify.com/track/2OawRn0NvWkStuemgdae4i
Toni Braxton,Un-Break My Heart,0,spotify:track:5kSexWiBGosdZEP9ZrnMxw,https://open.spotify.com/track/5kSexWiBGosdZEP9ZrnMxw
Annie Lennox,Walking on Broken Glass,68,spotify:track:4CcSw8wQAHYf4XNckayPoc,https://open.spotify.com/track/4CcSw8wQAHYf4XNckayPoc
Ace of Base,The Sign,0,spotify:track:68C7Q9IW70v5uaXSXyWVm3,https://open.spotify.com/track/68C7Q9IW70v5uaXSXyWVm3
Pearl Jam,Daughter - Remastered,70,spotify:track:53eJFr4Mfbw5PXJ01K6cFw,https://open.spotify.com/track/53eJFr4Mfbw5PXJ01K6cFw
Mariah Carey,Hero,71,spotify:track:4FCb4CUbFCMNRkI6lYc1zI,https://open.spotify.com/track/4FCb4CUbFCMNRkI6lYc1zI
Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",38,spotify:track:6yw2pmCVpIwnyEnqdEuAaT,https://open.spotify.com/track/6yw2pmCVpIwnyEnqdEuAaT
No Doubt,Don't Speak,78,spotify:track:6urCAbunOQI4bLhmGpX7iS,https://open.spotify.com/track/6urCAbunOQI4bLhmGpX7iS
Spin Doctors,Little Miss Can't Be Wrong,56,spotify:track:1uCqIhOePc6hDMG2ijk8sp,https://open.spotify.com/track/1uCqIhOePc6hDMG2ijk8sp
Sublime,Santeria,0,spotify:track:6cJqlSO19vsfCsH1FeFI35,https://open.spotify.com/track/6cJqlSO19vsfCsH1FeFI35
Blackstreet,No Diggity,79,spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,https://open.spotify.com/track/6MdqqkQ8sSC0WB4i8PyRuQ
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,0,spotify:track:65GZzBP1qyk4zH7c8RIJYD,https://open.spotify.com/track/65GZzBP1qyk4zH7c8RIJYD
Ini Kamoze,Here Comes the Hotstepper - Heartical Mix,65,spotify:track:3QRM0qZB7oMYavveH0iEqx,https://open.spotify.com/track/3QRM0qZB7oMYavveH0iEqx
Billy Joel,The River of Dreams,65,spotify:track:30qVCFYKBtAENjTIBA8FPZ,https://open.spotify.com/track/30qVCFYKBtAENjTIBA8FPZ
Backstreet Boys,As Long as You Love Me,62,spotify:track:00WvmRXTkPBZNhhRK3xfdy,https://open.spotify.com/track/00WvmRXTkPBZNhhRK3xfdy
New Radicals,You Get What You Give,75,spotify:track:1Cwsd5xI8CajJz795oy4XF,https://open.spotify.com/track/1Cwsd5xI8CajJz795oy4XF
Eminem,My Name Is,0,spotify:track:66LCa77E7ux7S6oT0YfRBn,https://open.spotify.com/track/66LCa77E7ux7S6oT0YfRBn
Rage Against The Machine,Killing In The Name,81,spotify:track:59WN2psjkt1tyaxjspN8fp,https://open.spotify.com/track/59WN2psjkt1tyaxjspN8fp
Sheryl Crow,All I Wanna Do,70,spotify:track:3ZpQiJ78LKINrW9SQTgbXd,https://open.spotify.com/track/3ZpQiJ78LKINrW9SQTgbXd
Nirvana,Smells Like Teen Spirit,80,spotify:track:5ghIJDpPoe3CfHMGu71E6T,https://open.spotify.com/track/5ghIJDpPoe3CfHMGu71E6T
Aaliyah,Back & Forth,59,spotify:track:45wneA2j0Z0WMnYNDO6Ad0,https://open.spotify.com/track/45wneA2j0Z0WMnYNDO6Ad0
The Cardigans,Lovefool - Radio Edit,64,spotify:track:0u4htORODiTK9vHVA89MQX,https://open.spotify.com/track/0u4htORODiTK9vHVA89MQX
Savage Garden,I Knew I Loved You,55,spotify:track:68K0qD0VDqdm0eWXsGqnvM,https://open.spotify.com/track/68K0qD0VDqdm0eWXsGqnvM
Hanson,MMMBop,0,spotify:track:3fX2kaZoKVFeqaE1BowEiX,https://open.spotify.com/track/3fX2kaZoKVFeqaE1BowEiX
Shania Twain,Man! I Feel Like A Woman!,56,spotify:track:6Agiwgwq5BtflpNynGYsUv,https://open.spotify.com/track/6Agiwgwq5BtflpNynGYsUv
The Verve Pipe,The Freshmen,62,spotify:track:21jEuMn2lf37715rwjow2M,https://open.spotify.com/track/21jEuMn2lf37715rwjow2M
